dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,label_prop_train,label_prop_test,label_prop_train_std,label_prop_test_std
flowers102,RBF,False,1000,BothSides,False,False,False,100.0,3.519607843137255,0.0,1.6395471844462952
flowers102,RBF,False,0,None,False,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,0,None,False,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,RBF,False,0,BothSides,False,False,True,100.0,3.5152505446623086,0.0,1.6340490184281493
flowers102,RBF,False,0,BothSides,False,False,False,100.0,3.5217864923747273,0.0,1.6322470766174073
flowers102,L2Distance,True,5,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,5,None,True,False,False,100.0,0.9814814814814818,0.0,0.018836183513933083
flowers102,L2Distance,True,5,BothSides,True,False,True,100.0,21.020697167755994,0.0,1.5474894311042777
flowers102,L2Distance,True,5,BothSides,True,False,False,100.0,21.289760348583876,0.0,1.5056594283474807
flowers102,L2Distance,True,50,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,50,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,50,BothSides,True,False,True,100.0,29.41938997821351,0.0,1.6522763638009383
flowers102,L2Distance,True,50,BothSides,True,False,False,100.0,30.973856209150327,0.0,1.6037300301891062
flowers102,L2Distance,True,500,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,500,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,500,BothSides,True,False,True,100.0,25.53267973856209,0.0,1.6471434745569256
flowers102,L2Distance,True,500,BothSides,True,False,False,100.0,26.747276688453166,0.0,1.6510668688694665
flowers102,L2Distance,True,40,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,40,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,40,BothSides,True,False,True,100.0,29.22875816993464,0.0,1.731846635715042
flowers102,L2Distance,True,40,BothSides,True,False,False,100.0,30.67320261437909,0.0,1.6994986245438384
flowers102,L2Distance,True,30,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,30,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,30,BothSides,True,False,True,100.0,28.583877995642702,0.0,1.593395599409721
flowers102,L2Distance,True,30,BothSides,True,False,False,100.0,29.81917211328976,0.0,1.6182700912099826
flowers102,L2Distance,True,20,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,20,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,20,BothSides,True,False,True,100.0,28.300653594771237,0.0,1.494003849759799
flowers102,L2Distance,True,20,BothSides,True,False,False,100.0,29.418300653594773,0.0,1.5778911284468837
flowers102,L2Distance,True,200,None,True,False,True,100.0,0.9803921568627455,0.0,2.220446049250313e-16
flowers102,L2Distance,True,200,None,True,False,False,100.0,0.9803921568627455,0.0,2.220446049250313e-16
