dataset,graph_type,minmaxscaler,nn,normalization,nnk,kalofolias,self_loop,acc_train,acc_train_std,acc_test,acc_test_std
flowers102,RBF,False,30,BothSides,False,False,False,96.97058823529413,1.3449251017851402,22.14596949891068,1.4397641027392605
flowers102,RBF,False,20,None,True,False,True,97.25490196078432,1.6049711317396982,27.19498910675381,1.6608092638304068
flowers102,RBF,False,20,None,True,False,False,90.9019607843137,2.5568507157181224,25.58714596949891,1.6790372777723355
flowers102,RBF,False,20,None,False,False,True,57.1078431372549,7.188855433600913,14.270152505446625,1.773425832241283
flowers102,RBF,False,20,None,False,False,False,53.029411764705884,6.091218365521842,13.400871459694988,1.5655213134390298
flowers102,RBF,False,20,BothSides,True,False,True,99.86274509803921,0.3673528234351973,30.805010893246195,1.7520387109795847
flowers102,RBF,False,20,BothSides,True,False,False,93.16666666666669,2.407277029957694,28.656862745098042,1.6439243929924499
flowers102,RBF,False,20,BothSides,False,False,True,98.86274509803921,0.9374927912064273,26.281045751633986,1.692392621217576
flowers102,RBF,False,20,BothSides,False,False,False,98.3529411764706,1.0364372773649055,25.6525054466231,1.7184070828524487
flowers102,RBF,False,200,None,True,False,True,11.892156862745098,2.7086338667430976,5.185185185185186,0.997550171977611
flowers102,RBF,False,200,None,True,False,False,11.294117647058824,2.60304733729821,5.127450980392158,0.9460525619109054
flowers102,RBF,False,200,None,False,False,True,2.1274509803921564,0.9710832566122162,1.7549019607843135,0.6255597784620456
flowers102,RBF,False,200,None,False,False,False,2.3235294117647056,1.0708736960515188,1.6938997821350759,0.641939469190222
flowers102,RBF,False,200,BothSides,True,False,True,95.44117647058825,1.851747722306286,17.888888888888893,1.4833689757474355
flowers102,RBF,False,200,BothSides,True,False,False,93.67647058823532,2.1585332212062736,17.491285403050114,1.5041561425367695
flowers102,RBF,False,200,BothSides,False,False,True,67.80392156862746,3.7453546775839075,9.547930283224403,1.1568786437944327
flowers102,RBF,False,200,BothSides,False,False,False,66.78431372549021,3.8778940526704724,9.45533769063181,1.1613447063030602
flowers102,RBF,False,10,None,True,False,True,99.33333333333331,0.7320844981409597,30.866013071895427,1.6233769547078194
flowers102,RBF,False,10,None,True,False,False,85.6372549019608,3.287969870143922,28.188453159041398,1.7850208483361047
flowers102,RBF,False,10,None,False,False,True,92.47058823529413,4.053847475435475,23.39324618736383,1.777861544333491
flowers102,RBF,False,10,None,False,False,False,89.75490196078432,4.407132644573633,22.564270152505447,1.7554708733268631
flowers102,RBF,False,10,BothSides,True,False,True,99.921568627451,0.265973724828439,32.110021786492375,1.8011023168795341
flowers102,RBF,False,10,BothSides,True,False,False,85.91176470588235,3.2148940918061637,28.733115468409586,1.637603477723118
flowers102,RBF,False,10,BothSides,False,False,True,99.91176470588235,0.28057035335792213,32.60457516339869,1.635416585889034
flowers102,RBF,False,10,BothSides,False,False,False,99.87254901960783,0.32970924942745206,32.06209150326798,1.6429713057827982
flowers102,RBF,False,100,None,True,False,True,34.68627450980392,4.816470205082506,10.255991285403052,1.304588461532257
flowers102,RBF,False,100,None,True,False,False,31.568627450980397,4.975912760960597,9.623093681917213,1.3257774286679982
flowers102,RBF,False,100,None,False,False,True,6.598039215686275,2.0604801924809433,3.504357298474946,0.9067022763283982
flowers102,RBF,False,100,None,False,False,False,6.303921568627451,1.8407107515147572,3.486928104575164,0.9671699769418417
flowers102,RBF,False,100,BothSides,True,False,True,96.91176470588236,1.3959834182253092,22.092592592592595,1.5312428908096412
flowers102,RBF,False,100,BothSides,True,False,False,95.29411764705883,1.8077538151554684,21.619825708061004,1.523299254498396
flowers102,RBF,False,100,BothSides,False,False,True,88.81372549019608,2.638311618601443,13.989106753812637,1.1420964729812428
